file,species
cbe761896.png,Common wheat
808578ed5.png,Common wheat
90d119d25.png,Sugar beet
6bce55e05.png,Charlock
026716f9b.png,Shepherds Purse
8ab8a958b.png,Maize
6d6eb3830.png,Charlock
122913909.png,Cleavers
406162ef9.png,Common wheat
4ea7493d5.png,Sugar beet
ef74dbcad.png,Sugar beet
19fdf19fb.png,Charlock
539961189.png,Loose Silky-bent
93079d970.png,Sugar beet
22fbf13d6.png,Shepherds Purse
31f3dd81f.png,Shepherds Purse
59e1cea8d.png,Charlock
3dd52bd2a.png,Scentless Mayweed
7f9e9565d.png,Sugar beet
41f1c3cdb.png,Maize
13b9fa92d.png,Sugar beet
fc3e58836.png,Sugar beet
f33e9d918.png,Charlock
56112b92c.png,Scentless Mayweed
29f49cd0b.png,Maize
d14aa43f3.png,Scentless Mayweed
ab0f67743.png,Shepherds Purse
6b721f68e.png,Shepherds Purse
c63da993b.png,Sugar beet
754b1adf8.png,Scentless Mayweed
592473c83.png,Fat Hen
d84d37a61.png,Loose Silky-bent
c50335991.png,Maize
c6b76307d.png,Charlock
686dc7ec8.png,Shepherds Purse
8d6991365.png,Fat Hen
32b42c120.png,Scentless Mayweed
8a4d3a1b1.png,Shepherds Purse
3f92d8039.png,Shepherds Purse
486e59179.png,Loose Silky-bent
c8f50f0c3.png,Charlock
aecfaed64.png,Charlock
da231c97f.png,Sugar beet
37c3108d6.png,Charlock
d2f422ccb.png,Loose Silky-bent
0bf7bfb05.png,Charlock
26e7ae885.png,Maize
82b5f4d33.png,Charlock
948cdb277.png,Charlock
1364b297a.png,Charlock
56a01b835.png,Charlock
e15472085.png,Loose Silky-bent
c5e419015.png,Sugar beet
d09d24c58.png,Shepherds Purse
24c94a6ca.png,Sugar beet
b6f3d8b5d.png,Sugar beet
4a337a4a9.png,Maize
eaf0815e2.png,Scentless Mayweed
99569b224.png,Charlock
6049234e6.png,Maize
e82017baa.png,Shepherds Purse
0d117d910.png,Loose Silky-bent
d6d80a321.png,Sugar beet
f66ae4070.png,Cleavers
30ad31220.png,Common wheat
5779fe8b4.png,Maize
506347cfe.png,Common wheat
827279bad.png,Sugar beet
2d9c798f9.png,Scentless Mayweed
63c07d340.png,Sugar beet
8170d33c1.png,Cleavers
6edc76e7c.png,Maize
2d5058a59.png,Loose Silky-bent
5315c2dca.png,Shepherds Purse
8b043093d.png,Scentless Mayweed
f85ed9b6d.png,Charlock
063363305.png,Scentless Mayweed
1f290e016.png,Sugar beet
71b232519.png,Shepherds Purse
6908fb540.png,Sugar beet
1b6a6494d.png,Sugar beet
2693e5c65.png,Cleavers
3e9f41817.png,Shepherds Purse
3abb502fb.png,Shepherds Purse
721be0a4a.png,Shepherds Purse
ae90f2827.png,Loose Silky-bent
bebcaab66.png,Sugar beet
e98e5d1d5.png,Fat Hen
958bb9e96.png,Common wheat
adb7a032c.png,Shepherds Purse
cd5f0db1c.png,Scentless Mayweed
c88ebfb47.png,Scentless Mayweed
429211ee6.png,Maize
6ba4ef411.png,Charlock
953496deb.png,Maize
8ece6efec.png,Sugar beet
1d0cbd819.png,Shepherds Purse
9baf94467.png,Sugar beet
808cf55c6.png,Charlock
edfdb4aeb.png,Sugar beet
24d36c52c.png,Loose Silky-bent
df521c0c0.png,Shepherds Purse
003d61042.png,Maize
391dcd7fd.png,Fat Hen
8a8d6c712.png,Charlock
96ecad7a1.png,Scentless Mayweed
00d090cde.png,Fat Hen
7cabd68cc.png,Shepherds Purse
837ac0270.png,Sugar beet
f4021df6c.png,Maize
b9062c1c8.png,Sugar beet
1c680883c.png,Shepherds Purse
2d992d1fb.png,Shepherds Purse
115f93ecc.png,Shepherds Purse
3d38a87bc.png,Shepherds Purse
9aa5587fe.png,Shepherds Purse
7b21ba6ba.png,Sugar beet
1be0713da.png,Charlock
593896f83.png,Loose Silky-bent
2126dc71b.png,Loose Silky-bent
0ebf8f2f4.png,Cleavers
e921021a8.png,Maize
91e469b4a.png,Common wheat
7f46a71db.png,Sugar beet
f593c9cf0.png,Sugar beet
1541bdb2e.png,Cleavers
dd9f36df7.png,Scentless Mayweed
466bb6d3b.png,Cleavers
f9b6bfb00.png,Charlock
b341d0aab.png,Loose Silky-bent
19b51843a.png,Loose Silky-bent
f351ce097.png,Shepherds Purse
248436078.png,Charlock
19618ad6a.png,Sugar beet
54c8bb900.png,Common wheat
b5c7fd009.png,Fat Hen
2b55a2da2.png,Common wheat
c0f5d9ac8.png,Scentless Mayweed
66ab0e8d0.png,Common wheat
36d62bf36.png,Charlock
d488a4fe1.png,Charlock
03e322a29.png,Sugar beet
abf8b0772.png,Sugar beet
14bb43eee.png,Charlock
c26ccf73c.png,Loose Silky-bent
b944a49ca.png,Shepherds Purse
7d22abf91.png,Sugar beet
35a90f8d0.png,Sugar beet
fda0b5c38.png,Charlock
0caeda5df.png,Charlock
cb76a7766.png,Maize
31fcdc161.png,Cleavers
3eda9cbb6.png,Sugar beet
1e095a7e1.png,Scentless Mayweed
410e6f702.png,Scentless Mayweed
cd6adba97.png,Scentless Mayweed
80e299ae9.png,Charlock
534e74d83.png,Cleavers
8b27bfd2b.png,Scentless Mayweed
0f6cbe5e8.png,Cleavers
64fe8beb9.png,Sugar beet
f0ffa00bd.png,Sugar beet
a5db42f7d.png,Cleavers
cf46d09c5.png,Loose Silky-bent
664194d19.png,Scentless Mayweed
241e6935a.png,Sugar beet
4c8005bbc.png,Fat Hen
a4b61a4ea.png,Fat Hen
8455169fe.png,Charlock
fd253a74e.png,Charlock
a35fd6fbb.png,Loose Silky-bent
f25996db8.png,Scentless Mayweed
32c86784b.png,Loose Silky-bent
1d56351b2.png,Loose Silky-bent
bb64660b7.png,Sugar beet
490c4f9c8.png,Maize
8cfd98117.png,Sugar beet
dfb1d9012.png,Shepherds Purse
67ce3eaa6.png,Scentless Mayweed
53e6e9000.png,Charlock
7f31c7f42.png,Shepherds Purse
74068643d.png,Shepherds Purse
da5255450.png,Loose Silky-bent
aaf4da98f.png,Sugar beet
3185294c8.png,Sugar beet
00c47e980.png,Sugar beet
b1cd2a91e.png,Charlock
